longitude,latitude,start_date,end_date,label,id
-55.738258108701,-11.551041665622,2000-02-18,2017-03-18,NoClass,219
-55.736131708773,-11.551041665622,2000-02-18,2017-03-18,NoClass,220
-55.734005308846,-11.551041665622,2000-02-18,2017-03-18,NoClass,221
-55.731878908918,-11.551041665622,2000-02-18,2017-03-18,NoClass,222
-55.72975250899,-11.551041665622,2000-02-18,2017-03-18,NoClass,223
-55.727626109062,-11.551041665622,2000-02-18,2017-03-18,NoClass,224
-55.725499709134,-11.551041665622,2000-02-18,2017-03-18,NoClass,225
-55.723373309206,-11.551041665622,2000-02-18,2017-03-18,NoClass,226
-55.721246909278,-11.551041665622,2000-02-18,2017-03-18,NoClass,227
-55.719120509351,-11.551041665622,2000-02-18,2017-03-18,NoClass,228
-55.716994109423,-11.551041665622,2000-02-18,2017-03-18,NoClass,229
-55.714867709495,-11.551041665622,2000-02-18,2017-03-18,NoClass,230
-55.712741309567,-11.551041665622,2000-02-18,2017-03-18,NoClass,231
-55.710614909639,-11.551041665622,2000-02-18,2017-03-18,NoClass,232
-55.708488509711,-11.551041665622,2000-02-18,2017-03-18,NoClass,233
-55.706362109784,-11.551041665622,2000-02-18,2017-03-18,NoClass,234
-55.704235709856,-11.551041665622,2000-02-18,2017-03-18,NoClass,235
-55.702109309928,-11.551041665622,2000-02-18,2017-03-18,NoClass,236
-55.69998291,-11.551041665622,2000-02-18,2017-03-18,NoClass,237
-55.697856510072,-11.551041665622,2000-02-18,2017-03-18,NoClass,238
-55.695730110144,-11.551041665622,2000-02-18,2017-03-18,NoClass,239
-55.693603710217,-11.551041665622,2000-02-18,2017-03-18,NoClass,240
-55.691477310289,-11.551041665622,2000-02-18,2017-03-18,NoClass,241
-55.689350910361,-11.551041665622,2000-02-18,2017-03-18,NoClass,242
-55.687224510433,-11.551041665622,2000-02-18,2017-03-18,NoClass,243
-55.685098110505,-11.551041665622,2000-02-18,2017-03-18,NoClass,244
-55.682971710577,-11.551041665622,2000-02-18,2017-03-18,NoClass,245
-55.680845310649,-11.551041665622,2000-02-18,2017-03-18,NoClass,246
-55.678718910721,-11.551041665622,2000-02-18,2017-03-18,NoClass,247
-55.676592510794,-11.551041665622,2000-02-18,2017-03-18,NoClass,248
-55.674466110866,-11.551041665622,2000-02-18,2017-03-18,NoClass,249
-55.672339710938,-11.551041665622,2000-02-18,2017-03-18,NoClass,250
-55.67021331101,-11.551041665622,2000-02-18,2017-03-18,NoClass,251
-55.668086911082,-11.551041665622,2000-02-18,2017-03-18,NoClass,252
-55.754855004264,-11.548958332289,2000-02-18,2017-03-18,NoClass,253
-55.752728620137,-11.548958332289,2000-02-18,2017-03-18,NoClass,254
-55.750602236009,-11.548958332289,2000-02-18,2017-03-18,NoClass,255
-55.748475851882,-11.548958332289,2000-02-18,2017-03-18,NoClass,256
-55.746349467755,-11.548958332289,2000-02-18,2017-03-18,NoClass,257
-55.744223083628,-11.548958332289,2000-02-18,2017-03-18,NoClass,258
-55.742096699501,-11.548958332289,2000-02-18,2017-03-18,NoClass,259
-55.739970315374,-11.548958332289,2000-02-18,2017-03-18,NoClass,260
-55.737843931247,-11.548958332289,2000-02-18,2017-03-18,NoClass,261
-55.73571754712,-11.548958332289,2000-02-18,2017-03-18,NoClass,262
-55.733591162993,-11.548958332289,2000-02-18,2017-03-18,NoClass,263
-55.731464778866,-11.548958332289,2000-02-18,2017-03-18,NoClass,264
-55.729338394738,-11.548958332289,2000-02-18,2017-03-18,NoClass,265
-55.727212010611,-11.548958332289,2000-02-18,2017-03-18,NoClass,266
-55.725085626484,-11.548958332289,2000-02-18,2017-03-18,NoClass,267
-55.722959242357,-11.548958332289,2000-02-18,2017-03-18,NoClass,268
-55.72083285823,-11.548958332289,2000-02-18,2017-03-18,NoClass,269
-55.718706474103,-11.548958332289,2000-02-18,2017-03-18,NoClass,270
-55.716580089976,-11.548958332289,2000-02-18,2017-03-18,NoClass,271
-55.714453705849,-11.548958332289,2000-02-18,2017-03-18,NoClass,272
-55.712327321722,-11.548958332289,2000-02-18,2017-03-18,NoClass,273
